Class Name,Source Image,Target Image,Similarity
6_train,12220.png,3136.png,0.041778445
6_train,27812.png,47962.png,0.042589724
6_train,3136.png,35734.png,0.042608976
6_train,53398.png,39709.png,0.043056488
6_train,3136.png,38936.png,0.04340571
6_train,9860.png,3136.png,0.04461646
6_train,770.png,3136.png,0.045167685
6_train,28066.png,15183.png,0.04571253
6_train,34698.png,3136.png,0.047040224
6_train,44128.png,3136.png,0.04726541
6_train,35026.png,45580.png,0.04765016
6_train,16188.png,18220.png,0.04803455
6_train,8224.png,9075.png,0.048213482
6_train,3136.png,15134.png,0.048914313
6_train,30856.png,3136.png,0.049476624
6_train,24616.png,3136.png,0.049906433
6_train,56210.png,3136.png,0.050242662
6_train,22962.png,3136.png,0.050625622
6_train,24934.png,53398.png,0.05179417
6_train,34765.png,53398.png,0.051964164
6_train,3136.png,21126.png,0.05212629
6_train,18904.png,53398.png,0.05241728
6_train,24944.png,3136.png,0.052480757
6_train,53398.png,45580.png,0.05387664
6_train,8224.png,49083.png,0.05470735
6_train,30770.png,53398.png,0.05471486
6_train,27812.png,26483.png,0.05505222
6_train,3136.png,47611.png,0.055128098
6_train,48945.png,8224.png,0.05530882
6_train,55626.png,24242.png,0.05643308
6_train,14764.png,8224.png,0.05650854
6_train,30770.png,35026.png,0.05665064
6_train,3136.png,13912.png,0.05745393
6_train,9075.png,51354.png,0.058798015
6_train,28066.png,47209.png,0.05910158
6_train,3757.png,3136.png,0.059154034
6_train,55112.png,55626.png,0.05935037
6_train,53398.png,10089.png,0.05938959
6_train,31521.png,50584.png,0.05974275
6_train,48945.png,28066.png,0.059768975
6_train,3229.png,51354.png,0.059771895
6_train,57641.png,28066.png,0.061264932
6_train,19206.png,26511.png,0.061316192
6_train,8224.png,388.png,0.06147319
6_train,49083.png,28066.png,0.06233847
6_train,28066.png,58554.png,0.06260234
6_train,24616.png,18904.png,0.06281829
6_train,47631.png,3136.png,0.06299698
6_train,50402.png,28066.png,0.063016534
6_train,26114.png,21128.png,0.06303668
6_train,35026.png,18904.png,0.063183546
6_train,34100.png,3136.png,0.06339437
6_train,48054.png,28066.png,0.06340265
6_train,12220.png,30770.png,0.0635196
6_train,16188.png,14764.png,0.06354624
6_train,1515.png,26511.png,0.06360704
6_train,51354.png,24242.png,0.06381953
6_train,28066.png,3136.png,0.063914955
6_train,23628.png,3136.png,0.063981056
6_train,45580.png,35734.png,0.064219
6_train,39528.png,28066.png,0.06440729
6_train,28066.png,49960.png,0.06446266
6_train,29169.png,38379.png,0.06470573
6_train,48114.png,55626.png,0.064714074
6_train,21772.png,14764.png,0.06482923
6_train,18220.png,8224.png,0.06499702
6_train,39709.png,35026.png,0.065083146
6_train,50425.png,28066.png,0.065113485
6_train,35734.png,58554.png,0.06527847
6_train,13964.png,53398.png,0.06602192
6_train,6954.png,28066.png,0.06614727
6_train,54788.png,3136.png,0.06638187
6_train,3136.png,44644.png,0.066639304
6_train,50584.png,8799.png,0.06692994
6_train,7202.png,3136.png,0.06693941
6_train,50584.png,27812.png,0.067228794
6_train,24184.png,51354.png,0.067344606
6_train,3136.png,27703.png,0.067374825
6_train,49083.png,26511.png,0.06738752
6_train,55626.png,50276.png,0.06742227
6_train,58111.png,53398.png,0.06745279
6_train,26511.png,42729.png,0.06755942
6_train,27812.png,57409.png,0.06759286
6_train,18904.png,30856.png,0.067675054
6_train,26511.png,45127.png,0.06773144
6_train,43979.png,28066.png,0.06792873
6_train,40849.png,26511.png,0.06803322
6_train,21128.png,50584.png,0.06805152
6_train,28066.png,23566.png,0.06809682
