Class Name,Source Image,Target Image,Similarity
3_train,23490.png,39851.png,0.05420035
3_train,52281.png,2092.png,0.05432403
3_train,46134.png,12812.png,0.05506879
3_train,2092.png,23412.png,0.055076957
3_train,53570.png,39871.png,0.0551641
3_train,11693.png,1260.png,0.055203676
3_train,14266.png,23412.png,0.055260062
3_train,21038.png,12812.png,0.055552065
3_train,11545.png,33510.png,0.055590153
3_train,25034.png,48352.png,0.055657566
3_train,13713.png,14028.png,0.05633557
3_train,57919.png,13713.png,0.056544542
3_train,52129.png,52272.png,0.056825936
3_train,34048.png,48352.png,0.056883216
3_train,2092.png,28757.png,0.05698377
3_train,21112.png,18049.png,0.05699277
3_train,26412.png,52129.png,0.05706954
3_train,20016.png,53570.png,0.057086766
3_train,57474.png,28757.png,0.05711007
3_train,41776.png,11693.png,0.05714166
3_train,11545.png,9074.png,0.057182968
3_train,11545.png,41776.png,0.057243645
3_train,11545.png,2092.png,0.05729264
3_train,57474.png,23412.png,0.057314813
3_train,14266.png,52129.png,0.057466984
3_train,13969.png,21112.png,0.057498932
3_train,31345.png,4836.png,0.05752349
3_train,11747.png,32688.png,0.057523668
3_train,49467.png,13713.png,0.057555735
3_train,53570.png,12153.png,0.057802916
3_train,39706.png,52129.png,0.05791515
3_train,26866.png,12812.png,0.05797565
3_train,18049.png,228.png,0.058019996
3_train,32234.png,11693.png,0.058086634
3_train,13983.png,23490.png,0.058131874
3_train,11545.png,32688.png,0.058137417
3_train,18049.png,2092.png,0.058154643
3_train,57474.png,18986.png,0.058175325
3_train,53108.png,25034.png,0.058241904
3_train,11693.png,31667.png,0.058318377
3_train,18986.png,14266.png,0.058395088
3_train,21946.png,11747.png,0.058421135
3_train,39851.png,32688.png,0.058422327
3_train,31345.png,43942.png,0.058426857
3_train,2092.png,25949.png,0.058484554
3_train,3201.png,2092.png,0.058903515
3_train,11693.png,48352.png,0.058946967
3_train,11545.png,7976.png,0.05917257
3_train,52394.png,55103.png,0.059247255
3_train,23490.png,55103.png,0.059277236
3_train,49529.png,35272.png,0.059297025
3_train,5396.png,17062.png,0.05932337
3_train,55103.png,32688.png,0.05960983
3_train,33510.png,41565.png,0.059639692
4_train,31114.png,18308.png,0.02758652
4_train,4952.png,1004.png,0.027944267
4_train,32830.png,31114.png,0.028175533
4_train,16068.png,6810.png,0.028541744
4_train,54452.png,17576.png,0.029534996
4_train,6810.png,17576.png,0.030244768
4_train,54452.png,18551.png,0.030641496
4_train,5936.png,828.png,0.031094968
4_train,828.png,34750.png,0.03185892
4_train,52279.png,828.png,0.032297194
4_train,17926.png,6810.png,0.03234476
4_train,24514.png,31114.png,0.032375693
4_train,24822.png,828.png,0.03246343
4_train,17406.png,55490.png,0.03276342
4_train,16912.png,828.png,0.033174872
4_train,31114.png,33726.png,0.033340573
4_train,28706.png,828.png,0.03339356
4_train,53363.png,6810.png,0.03341484
4_train,17576.png,40288.png,0.033531666
4_train,10626.png,6810.png,0.033763826
4_train,6810.png,15376.png,0.033792734
4_train,26334.png,828.png,0.03399867
4_train,25154.png,31114.png,0.034007072
4_train,31114.png,6810.png,0.03422612
4_train,31114.png,28706.png,0.034249187
4_train,31114.png,30536.png,0.034294426
4_train,6810.png,4952.png,0.03432256
4_train,54936.png,828.png,0.034367144
4_train,18551.png,6810.png,0.034407973
4_train,5936.png,17576.png,0.034511447
4_train,40288.png,18551.png,0.034522712
4_train,12922.png,24018.png,0.034552574
4_train,37648.png,828.png,0.034554303
4_train,1440.png,54452.png,0.035067856
4_train,41079.png,828.png,0.035135806
4_train,6810.png,12418.png,0.03538245
4_train,7002.png,6810.png,0.035457432
4_train,1440.png,6810.png,0.035566747
4_train,18308.png,1440.png,0.035661817
4_train,50564.png,31114.png,0.03573835
4_train,828.png,56320.png,0.03577423
4_train,48892.png,828.png,0.035829544
4_train,22584.png,18551.png,0.03585267
4_train,35490.png,31114.png,0.035908878
4_train,50564.png,828.png,0.036046624
4_train,47198.png,1440.png,0.036078155
4_train,10960.png,40288.png,0.03609675
4_train,38047.png,828.png,0.036376417
4_train,31114.png,1110.png,0.036380768
4_train,12922.png,6810.png,0.03648722
4_train,31114.png,17276.png,0.036528707
4_train,29252.png,828.png,0.03662026
4_train,31114.png,24302.png,0.036680043
4_train,49514.png,828.png,0.036720395
4_train,2608.png,52279.png,0.036732674
4_train,34808.png,12922.png,0.036798537
4_train,828.png,3088.png,0.036876917
4_train,4952.png,22584.png,0.03687948
4_train,31114.png,5880.png,0.037127793
4_train,12922.png,56320.png,0.037130356
4_train,50844.png,54452.png,0.037155926
4_train,54936.png,31114.png,0.0371629
4_train,41950.png,4952.png,0.037215352
4_train,12922.png,35490.png,0.037229717
4_train,24514.png,54960.png,0.037419736
4_train,828.png,44905.png,0.037538826
4_train,24514.png,44998.png,0.03758025
4_train,828.png,754.png,0.037627697
4_train,31114.png,37884.png,0.03791207
4_train,828.png,10928.png,0.037925005
4_train,16068.png,22584.png,0.037931025
4_train,3194.png,40288.png,0.03796959
4_train,57076.png,55490.png,0.038005114
4_train,54960.png,52279.png,0.038029432
4_train,55490.png,31453.png,0.0380615
4_train,52279.png,31114.png,0.038103998
4_train,18724.png,31114.png,0.038291097
4_train,4952.png,54452.png,0.038295567
4_train,17576.png,41079.png,0.038309395
4_train,31114.png,39866.png,0.03842944
4_train,2050.png,31114.png,0.038444877
4_train,12922.png,5936.png,0.038448095
4_train,828.png,31552.png,0.03846824
4_train,24514.png,1440.png,0.03853208
4_train,828.png,53052.png,0.038555443
4_train,5936.png,40766.png,0.038726866
4_train,6810.png,16450.png,0.038752675
4_train,828.png,54452.png,0.038776994
4_train,40288.png,12922.png,0.038787603
4_train,4952.png,576.png,0.038831472
4_train,828.png,2742.png,0.038852155
4_train,56550.png,31114.png,0.03885418
4_train,828.png,28976.png,0.038866043
4_train,828.png,53492.png,0.038883388
4_train,754.png,31114.png,0.03892988
4_train,31114.png,22580.png,0.038956463
4_train,49005.png,828.png,0.03897077
4_train,828.png,58697.png,0.038977146
4_train,17926.png,35490.png,0.039040267
4_train,31114.png,35725.png,0.03904456
5_train,57942.png,34365.png,0.0025319457
5_train,29870.png,34365.png,0.0056370497
5_train,5414.png,36774.png,0.0066818595
5_train,12572.png,5414.png,0.006855428
5_train,7740.png,34365.png,0.0074959397
5_train,51990.png,57461.png,0.009185553
5_train,12572.png,34365.png,0.010133147
5_train,51990.png,6431.png,0.010215938
5_train,14389.png,47940.png,0.010645568
5_train,13699.png,30448.png,0.010989428
5_train,51990.png,11115.png,0.0115814805
5_train,36774.png,13699.png,0.011630714
5_train,5414.png,49460.png,0.012006223
5_train,36774.png,34365.png,0.012076497
5_train,59993.png,51990.png,0.012154818
5_train,34365.png,37448.png,0.012576759
5_train,53715.png,36774.png,0.012584925
5_train,31242.png,34365.png,0.012665391
5_train,34365.png,50322.png,0.012676775
5_train,55322.png,57461.png,0.013050497
5_train,34365.png,34626.png,0.013499618
5_train,34365.png,24180.png,0.013597846
5_train,2758.png,53715.png,0.013723671
5_train,10286.png,59960.png,0.014916658
