Índice: 160, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01597.png
Índice: 161, Valor CSG: 0.9999, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01603.png
Índice: 162, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01605.png
Índice: 163, Valor CSG: 0.9998998998998999, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01606.png
Índice: 164, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01607.png
Índice: 165, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01611.png
Índice: 166, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01612.png
Índice: 167, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01625.png
Índice: 168, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01660.png
Índice: 169, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01662.png
Índice: 170, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01704.png
Índice: 171, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01715.png
Índice: 172, Valor CSG: 0.9997997853457946, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01733.png
Índice: 173, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01775.png
Índice: 174, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01779.png
Índice: 175, Valor CSG: 0.9998996918412641, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01782.png
Índice: 176, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01787.png
Índice: 177, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01788.png
Índice: 178, Valor CSG: 0.9993987975952527, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01794.png
Índice: 179, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01813.png
Índice: 180, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01830.png
Índice: 181, Valor CSG: 0.9998997995991984, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01848.png
Índice: 182, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01861.png
Índice: 183, Valor CSG: 0.9996996996996997, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01871.png
